,content,id,lat,location,lon,time,user,user_id
1022,"RT @_TechConnect_: I dream it, I work hard I grind ’til I own it I twirl on them haters. Read why @themissjames126 goal is to become the Be…",970828883200303104,,"Atlanta, GA",,2018-03-06 01:10:17,RoshaundaDGreen,516075220
1684,RT @_stxnley: https://t.co/BlLeAURLGQ,970828248673411072,,"Atlanta, GA",,2018-03-06 01:07:46,ThickneySpears,18639341
607,RT @thistallawkgirl: MEN WITH TINY PENISES REJOICE https://t.co/FzO1w9GDcq,970829239401533440,,"Atlanta, GA",,2018-03-06 01:11:42,nnnooan06,3368115981
760,RT @mitsmr: Handy guide for assessing the logic of your corporate #strategy. https://t.co/8w4hZ9y52H @simple_rules @MITSloan https://t.co/R…,970829094236680192,,"Atlanta, GA",,2018-03-06 01:11:07,RoshaundaDGreen,516075220
0,@MrHenryWimbush @dad_gc @GenderIsATool @danwheeleruk @radicalhag @chiller I’ve seen the website.  Rape threats are… https://t.co/9clZJf5LxT,970829812398018560,,"Boston, MA",,2018-03-06 01:13:59,frankcastling,2450234672
100,@FueledbyLOLZ Baltimore also has the best rainbow cake I’ve found yet. You know what I’ll be eating all weekend 🙌🏼,970829709910200320,,"Boston, MA",,2018-03-06 01:13:34,sarahpardus,884730787
1002,RT @OmggRhi: I want abs https://t.co/oRNNC36SiR,970828902984712192,,"Boston, MA",,2018-03-06 01:10:22,OmggRhi,2216850999
1004,#RAW: Ronda Rousey should stop talking &amp; put Stephanie into an arm bar.,970828900921233408,,"Boston, MA",,2018-03-06 01:10:21,aargold24,3092410071
1008,"@BanGronkNandez i truly wish he wouldd have walked after this sbowl
brady has been carrying this team for years",970828898840784896,,"Boston, MA",,2018-03-06 01:10:21,CMJ171717,275785490
101,Okay. I'm on board for this match. #Raw,970829709197168640,,"Boston, MA",,2018-03-06 01:13:34,helloitsdanie,21468741
1011,anotha batch of some round logos I made! (gonna start posting these every 4 that go public) https://t.co/ypJxRNiIhP,970828893694365696,,"Boston, MA",,2018-03-06 01:10:20,BacanAndEggs_YT,2298700044
1014,Working on prep for my interview with @MarineMuseum. What would you like to know about the early history of the Uni… https://t.co/Fp1Lsm3stF,970828892259971072,,"Boston, MA",,2018-03-06 01:10:19,lizcovart,312229664
1015,All new components are in and it’s time to start play testing again! I’m particularly happy with… https://t.co/lJ6XUiTMv0,970828891941163008,,"Boston, MA",,2018-03-06 01:10:19,WM_Games,1901906323
1016,@dataeditor Architecture tour on the river.,970828891756597248,,"Boston, MA",,2018-03-06 01:10:19,eyeseast,3315611
1017,Follow me on Twitter... Please and thank you 😬 https://t.co/1f5HPKxQh2,970828888526868480,,"Boston, MA",,2018-03-06 01:10:18,JimmymfJames1,750066729330548736
1020,So what you're saying is that this didn't make it in the album? https://t.co/PS5kNJyGwz,970828883732914176,,"Boston, MA",,2018-03-06 01:10:17,yadii100,549596551
1023,Dude on @CNN was just asked if he is drunk. Hahaha oh man. 2018 ya’ll,970828882562764800,,"Boston, MA",,2018-03-06 01:10:17,DeLaHansome,33311134
1024,@BC_Mens_Lax Lets Go!,970828882269130752,,"Boston, MA",,2018-03-06 01:10:17,mjvsearch,107175532
1028,@kyythekiwii *big time,970828880696266752,,"Boston, MA",,2018-03-06 01:10:16,huntiesbbg,838927692246495232
103,WAHAHAHAHA 😂😂 https://t.co/3jaMdvkXRy,970829707792076800,,"Boston, MA",,2018-03-06 01:13:34,justsext,290784945
